,raceId,year,driverId,constructorId,grid,position,positionText,last_1,last_2,temp,chi
6,1121,2024,1,131,9,7.0,3,,,2.0,
28,1122,2024,1,131,8,9.0,3,3,,-1.0,2.0
67,1124,2024,1,131,7,9.0,3,0,3,-2.0,-1.0
87,1125,2024,1,131,18,9.0,3,3,0,9.0,-2.0
104,1126,2024,1,131,8,6.0,3,3,3,2.0,9.0
124,1127,2024,1,131,8,6.0,3,3,3,2.0,2.0
145,1128,2024,1,131,7,7.0,3,3,3,0.0,2.0
162,1129,2024,1,131,7,4.0,2,3,3,3.0,0.0
181,1130,2024,1,131,3,3.0,1,2,3,0.0,3.0
202,1131,2024,1,131,5,4.0,2,1,2,1.0,0.0
219,1132,2024,1,131,2,1.0,1,2,1,1.0,1.0
241,1133,2024,1,131,5,3.0,1,1,2,2.0,1.0
259,1134,2024,1,131,3,1.0,1,1,1,2.0,2.0
286,1135,2024,1,131,14,8.0,3,1,1,6.0,2.0
303,1136,2024,1,131,6,5.0,2,3,1,1.0,6.0
327,1137,2024,1,131,0,9.0,3,2,3,-9.0,1.0
344,1138,2024,1,131,3,6.0,3,3,2,-3.0,-9.0
382,1140,2024,1,131,6,4.0,2,0,3,2.0,-3.0
408,1141,2024,1,131,14,10.0,3,2,0,4.0,2.0
420,1142,2024,1,131,10,2.0,1,3,2,8.0,4.0
450,1143,2024,1,131,6,12.0,4,1,3,-6.0,8.0
462,1144,2024,1,131,16,4.0,2,4,1,12.0,-6.0
